entidade,preco_fecho,dates
BCA,3400.0,2009-06-08
BCA,3105.0,2009-05-28
BCA,3400.0,2009-05-07
BCA,3100.0,2009-04-29
BCA,3100.0,2009-04-28
BCA,3100.0,2009-04-22
BCA,3105.0,2009-04-09
BCA,3110.0,2009-04-03
BCA,3109.0,2009-03-27
BCA,3420.0,2009-02-19
BCA,3425.0,2009-02-18
BCA,3400.0,2009-02-17
BCA,3200.0,2009-01-27
BCA,3200.0,2009-01-26
BCA,3200.0,2009-01-21
BCA,3200.0,2008-12-30
BCA,3200.0,2008-12-15
BCA,3100.0,2008-12-03
BCA,3100.0,2008-11-19
BCA,3100.0,2008-11-18
BCA,3100.0,2008-11-14
BCA,3100.0,2008-11-10
BCA,3090.0,2008-10-31
BCA,3100.0,2008-08-28
BCA,3500.0,2008-08-08
BCA,3100.0,2008-08-05
BCA,3100.0,2008-07-11
BCA,3100.0,2008-06-19
BCA,2900.0,2008-06-17
BCA,3100.0,2008-03-12
BCA,3100.0,2008-03-05
BCA,3200.0,2008-01-28
BCA,3200.0,2008-01-08
BCA,3400.0,2007-12-12
BCA,3400.0,2007-12-10
BCA,3000.0,2007-12-03
BCA,3000.0,2007-11-30
BCA,3000.0,2007-11-28
BCA,3000.0,2007-11-14
BCA,2900.0,2007-11-07
BCA,2900.0,2007-10-31
BCA,2800.0,2007-10-22
BCA,2767.0,2007-10-12
BCA,2933.0,2007-09-28
BCA,2551.0,2007-08-10
BCA,3000.0,2007-07-25
BCA,3000.0,2007-07-04
BCA,3000.0,2007-06-26
BCA,3000.0,2007-06-22
BCA,3000.0,2007-06-19
BCA,2990.0,2007-06-11
BCA,3000.0,2007-05-22
BCA,3000.0,2007-05-15
BCA,3300.0,2007-05-04
BCA,3300.0,2007-04-30
BCA,3000.0,2007-04-20
BCA,3000.0,2007-04-11
BCA,3000.0,2007-03-15
BCA,3000.0,2007-03-07
BCA,2900.0,2007-02-27
BCA,2990.0,2006-12-29
BCA,2955.0,2006-10-26
BCA,2990.0,2006-10-24
BCA,2900.0,2006-10-16
BCA,2900.0,2006-09-13
BCA,3000.0,2006-09-07
BCA,3000.0,2006-08-22
BCA,3390.0,2006-06-05
BCA,3385.0,2006-05-31
BCA,3800.0,2006-04-27
BCA,3800.0,2006-04-10
BCA,3800.0,2006-04-03
BCA,3800.0,2006-03-30
BCA,3800.0,2006-03-20
BCA,3800.0,2006-03-15
BCA,3800.0,2006-03-13
BCA,3900.0,2006-02-14
BCA,3900.0,2006-02-08
BCA,4000.0,2006-01-16
BCA,3500.0,2006-01-12
BCA,3500.0,2005-12-21
